Company Name,URL,Directors
RENUKA HOLDINGS PLC,http://www.renukagroup.com/about_us/corporate_information.php,"Mr V. Sanmugam, M.S Dominic"
GESTETNER OF CEYLON PLC,https://www.gestetner.lk/our-members/,"B C U Perera, Kris Wadia, John Keells Holdings"
E M L CONSULTANTS PLC,https://emlconsultants.com/management-team/,"Thilak Hewawasa, H. N. J. Chandrasekera 
 Non, Thilak Hewawasam"
ALPHA FIRE SERVICES PLC,http://alphafire.lk/about_us.php,Frank Ryde
MULLER & PHIPPS (CEYLON) PLC,https://mphealthcare.lk/board-of-directors/,"S. Rajaratnam, S.D.R. Arudpragasam"
CHRISSWORLD PLC,https://chrissworld.com/about-us/,"Christopher A M Perera, Sithira Wickramasekera, Melanga Doolwala, Shanaka Lansakara"
GREENTECH ENERGY PLC,https://greentech.energy/en/management-board/,"Ingo Rehmann 
 Chief, Oliver Herzog"
OFFICE EQUIPMENT PLC,https://www.marketscreener.com/quote/stock/OFFICE-EQUIPMENT-PLC-20703908/company/,"Anthony Asokumar Page, L. Indraraj Ratnasabapathy, M. S. Adhil Kariapper"
YORK ARCADE HOLDINGS PLC,https://yorkarcadeholdings.com/,"S. Rajaratnam, S. D. R. Arudpragasam, S. Shanmugalingam, Amrit Rajaratnam"
ANILANA HOTELS AND PROPERTIES PLC,https://www.marketscreener.com/quote/stock/ANILANA-HOTELS-AND-PROPER-20707603/company/,"Rakesh Sharma, Asanga Seneviratne, Sonal Pandey"
KELSEY DEVELOPMENTS PLC,https://kelsey.lk/our-management/,"John Keels
Holdings, Wasantha Galagoda, Suranee Thumilan, Sivarajah Thumilan Group, Namal Godellawattage, Kelsey D, Kelsey Developments"
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,https://www.aitkenspence.com/corporate-governance/board-of-directors,"R.M. Fernando, Harry Jayawardena, Stasshani Jayawardena, Bhathiya Bulumulla, M.P. Dissanayake, Aitken Spence, Parakrama Dissanayake, Deshantha Silva, Rohan Fernando, Rajan Brito, Deshamanya D.H.S., N.J. De, J.M.S. Brito, the Aitken Spence"
BIMPUTH LANKA INVESTMENTS PLC,https://www.marketscreener.com/quote/stock/BIMPUTH-LANKA-INVESTMENTS-20706460/company/,"P. D. C. R. Wijayaratne, Manjaree Gamage, Chamindra Kilittuwa Gamage, Sudath Ajitha Samaradivakara Jayasundara, Kelum Weeranthunga"
DIALOG AXIATA PLC,https://www.dialog.lk/structure-and-management,"DAVID NAI PEK LAU, WILLEM LUCAS"
CENTRAL FINANCE COMPANY PLC,https://cf.lk/board-of-directors/,"Eranjith Harendra Wijenaike, Arjuna Gunaratne, Damitha Nandanie de Zoysa, Kumar Perera Jayasuriya, Asite Drupath, Prasanna de Silva, Eranjith Wijenaike, Kumar Jayasuriya"
OVERSEAS REALTY (CEYLON) PLC,https://orcl.lk/about-us/,"Indrajit Wickramasinghe, Pravir Samarasinghe, Ajit Mahendra De Silva  Jayaratne, Mireka Tower, Carl Noel Shamil Mendis, Ajit Mahendra De Silva Jayaratne, Pathiranage Yohan Srineth, Ajit Mahendra De Silva, Leslie Ralph de Lanerolle, Mildred Tao Ong"
EXTERMINATORS PLC,https://exterminators.lk/about-us/,"Marlon Ferreira, Dr Gomes, Kishu Gomes"
SAMPATH BANK PLC,https://www.sampath.lk/about-us/leadership,"Vajira Kulatilaka
irector
           Read More     
          Rushanka Silva
ng Director
           Read More     
          Rushanka Silva
Managing Dir
Keshini Jayawardena
           
          Independent
Vinod Hirdarama
Vinod Hirdaramani"
BROWNS INVESTMENTS PLC,https://www.brownsinvestments.com/about-us/our-team.html,"Kalsha Amarasinghe
Kapila Jayawardena
Sierra Leone
Ishara Nanayakkara"
NATIONAL DEVELOPMENT BANK PLC,https://www.ndbbank.com/about/board-of-directors,"Sriyan Cooray
Bernard Sinniah"
JANASHAKTHI INSURANCE PLC,https://www.janashakthi.com/news-inner?ref=Exciting-new-additions-to-Janashakthi-Life%27s-Board-of-Directors,"Ravi Liyanage
Dinesh Schaffter
Annika Senanayake
Prakash Schaffter
Mahela Jayawardena"
PAN ASIA BANKING CORPORATION PLC,https://www.pabcbank.com/about-us/team/,"Kawshi Amarasinghe
Aravinda Perera
Malik Ranasinghe
Sandra Walgama
Kawshi Amarasi"
MYLAND DEVELOPMENTS PLC,https://myland.lk/about/,"Renuka Jayawardhana
Deshantha  De Alwis Indepe
W.D. Premachandra
S. A. Alahakoon
Deshantha  De Alwis"
FIRST CAPITAL HOLDINGS PLC,https://firstcapital.lk/team_categories/board-of-directors/,"Rachini Rajapaksa
Inoshini Perera
Ramesh Schaffter"
LOLC GENERAL INSURANCE PLC,https://www.lolcgeneral.com/managment-team.php,"Suranga Wewegedara - Head
Nimal Perera
Jayantha Wanigathunga
Ajantha Amarasinghe
Laxmananraj Ganeshkumar
Keshan Abeyewardene
Saraka Liyanage
Udaya Kumara
Suranga Wewegedara
Sanjaya Attanayake -  
Sanjaya Attanayake
Maheshika Perera
Ajantha
Saraka Joins
Dinusha Thilanka"
CARGILLS BANK PLC,https://www.cargillsbank.com/about-us/board-of-directors/ravi-jayawardena/,"Facebook Twitter
Ravi-Jayawardena"
MERCHANT BANK OF SRI LANKA & FINANCE PLC,https://www.mbslbank.com/en/elite-new-appointments-strengthen-mbsls-board-of-directors/,"Priyal Silva
Jeewantha
Silva"
